YEAR,STATE DESCRIPTION,STATE _CODE_x,NAICS_CODE_x,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE_x,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL,STATE _CODE_y,NAICS_CODE_y,ENTERPRISE_EMPLOYMENT_SIZE_y,NUMBER_OF_FILMS_LARGE,NUMBER_OF_ESTABLISHMENTS_LARGE,EMPLOYMENT_LARGE,ANNUAL_PAYROLL _LARGE,SALARY_EMP_LARGE
2012,Alaska,AK,21,"Mining, quarrying, and oil and gas extraction",08:  <500,126,128,2195,262297000.0,119497.4943,AK,21,09:  500+,28.0,55.0,10638.0,1236284000.0,116213.95
2012,Alaska,AK,22,Utilities,08:  <500,57,91,1861,163414000.0,87809.77969,,,,,,,,
2012,Alaska,AK,23,Construction,08:  <500,2317,2333,12210,1005366000.0,82339.55774,AK,23,09:  500+,30.0,80.0,5848.0,584911000.0,100018.9808
2012,Alaska,AK,42,Wholesale trade,08:  <500,448,512,4757,261282000.0,54925.79357,AK,42,09:  500+,103.0,234.0,3776.0,250130000.0,66242.05507999999
2012,Alaska,AK,51,Information,08:  <500,173,224,2419,104007000.0,42995.86606,AK,51,09:  500+,26.0,171.0,4226.0,302791000.0,71649.5504
2012,Alaska,AK,52,Finance and insurance,08:  <500,348,439,3339,194668000.0,58301.28781,AK,52,09:  500+,56.0,323.0,4038.0,253452000.0,62766.7162
2012,Alaska,AK,53,Real estate and rental and leasing,08:  <500,751,822,3544,145604000.0,41084.65011,AK,53,09:  500+,33.0,62.0,1004.0,57876000.0,57645.41832999999
2012,Alaska,AK,54,"Professional, scientific, and technical services",08:  <500,1614,1662,10200,744503000.0,72990.4902,AK,54,09:  500+,104.0,246.0,7255.0,483881000.0,66696.20951
2012,Alaska,AK,55,Management of companies and enterprises,08:  <500,64,71,1163,72866000.0,62653.482370000005,AK,55,09:  500+,44.0,88.0,5094.0,600947000.0,117971.5351
2012,Alaska,AK,56,Administrative and support and waste management and remediation services,08:  <500,918,959,7714,334839000.0,43406.66321,AK,56,09:  500+,57.0,177.0,11571.0,562936000.0,48650.592000000004
2012,Alaska,AK,61,Educational services,08:  <500,222,251,2613,65340000.0,25005.740530000003,,,,,,,,
2012,Alaska,AK,62,Health care and social assistance,08:  <500,1930,2145,28063,1406864000.0,50132.34508,AK,62,09:  500+,41.0,295.0,19390.0,1064503000.0,54899.58742
2012,Alaska,AK,71,"Arts, entertainment, and recreation",08:  <500,518,535,3361,77336000.0,23009.81851,,,,,,,,
2012,Alaska,AK,72,Accommodation and food services,08:  <500,1750,1935,19511,409784000.0,21002.716419999997,AK,72,09:  500+,37.0,179.0,6649.0,213654000.0,32133.253119999998
2012,Alaska,AK,81,Other services (except public administration),08:  <500,1660,1758,9107,293952000.0,32277.588669999997,AK,81,09:  500+,36.0,76.0,730.0,27418000.0,37558.90411
2012,Alaska,AK,--,Total,08:  <500,16063,17610,138378,6638419000.0,47973.08098,AK,--,09:  500+,593.0,2817.0,119841.0,7347984000.0,61314.44164
2012,Alaska,AK,31-33,Manufacturing,08:  <500,430,443,3990,197674000.0,49542.35589,AK,31-33,09:  500+,27.0,81.0,7945.0,311721000.0,39234.864689999995
2012,Alaska,AK,44-45,Retail trade,08:  <500,1762,2014,14754,489357000.0,33167.75112,AK,44-45,09:  500+,102.0,489.0,18134.0,497383000.0,27428.20117
2012,Alaska,AK,48-49,Transportation and warehousing,08:  <500,779,878,6775,363276000.0,53620.0738,AK,48-49,09:  500+,65.0,220.0,10842.0,822789000.0,75889.04261
2012,Arizona,AZ,11,"Agriculture, forestry, fishing and hunting",08:  <500,187,191,1409,38907000.0,27613.20085,,,,,,,,
2012,Arizona,AZ,21,"Mining, quarrying, and oil and gas extraction",08:  <500,164,173,2362,135965000.0,57563.5055,,,,,,,,
2012,Arizona,AZ,22,Utilities,08:  <500,135,166,2276,149707000.0,65776.36203999999,,,,,,,,
2012,Arizona,AZ,23,Construction,08:  <500,10855,10900,93419,3869803000.0,41424.15354,AZ,23,09:  500+,123.0,219.0,25405.0,1712838000.0,67421.29502
2012,Arizona,AZ,42,Wholesale trade,08:  <500,4979,5335,45923,2273716000.0,49511.486619999996,AZ,42,09:  500+,478.0,1334.0,46502.0,3441837000.0,74014.81657000001
2012,Arizona,AZ,51,Information,08:  <500,1096,1140,11572,683480000.0,59063.25614,AZ,51,09:  500+,157.0,887.0,32959.0,2165184000.0,65693.25526
2012,Arizona,AZ,52,Finance and insurance,08:  <500,4553,4979,25169,1509894000.0,59990.226070000004,AZ,52,09:  500+,306.0,4322.0,106064.0,6517304000.0,61446.899979999995
2012,Arizona,AZ,53,Real estate and rental and leasing,08:  <500,6320,6756,26361,1122316000.0,42574.86438,AZ,53,09:  500+,151.0,1296.0,16073.0,729566000.0,45390.77957
